"REF_DATE","GEO","DGUID","Variable","Resin","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Total, all resins","Tonnes","287","units","0","v1331404607","1.1.1","3731732","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Polyethylene terephthalate (PET) resins","Tonnes","287","units","0","v1331404608","1.1.2","377731","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Other thermoplastic polyester resins","Tonnes","287","units","0","v1331404609","1.1.3","84982","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Low-density polyethylene resins","Tonnes","287","units","0","v1331404610","1.1.4","257294","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Linear low-density polyethylene resins","Tonnes","287","units","0","v1331404611","1.1.5","177033","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","High-density polyethylene resins","Tonnes","287","units","0","v1331404612","1.1.6","597624","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Other polyethylene resins","Tonnes","287","units","0","v1331404613","1.1.7","374390","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Polystyrene resins","Tonnes","287","units","0","v1331404614","1.1.8","492157","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Acrylonitrile-butadiene-styrene resins","Tonnes","287","units","0","v1331404615","1.1.9","25451","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Polyvinyl chloride resins","Tonnes","287","units","0","v1331404616","1.1.10","432119","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Polypropylene resins","Tonnes","287","units","0","v1331404617","1.1.11","387074","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Thermoplastic polyurethane resins","Tonnes","287","units","0","v1331404618","1.1.12","37368","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Polyamide (nylon) resins","Tonnes","287","units","0","v1331404619","1.1.13","68210","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","All other thermoplastic resins","Tonnes","287","units","0","v1331404620","1.1.14","314636","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Phenolic resins","Tonnes","287","units","0","v1331404621","1.1.15","3049","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Urea formaldehyde resins","Tonnes","287","units","0","v1331404622","1.1.16","2545","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","All other formaldehyde based resins","Tonnes","287","units","0","v1331404623","1.1.17","1086","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Unsaturated polyester (thermosetting) resins","Tonnes","287","units","0","v1331404624","1.1.18","44590","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Thermosetting polyurethane resins","Tonnes","287","units","0","v1331404625","1.1.19","30354","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Other thermosetting resins","Tonnes","287","units","0","v1331408573","1.1.20","24038","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of newly produced products","Total, all resins","Tonnes","287","units","0","v1331404626","1.2.1","1848426","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of newly produced products","Polyethylene terephthalate (PET) resins","Tonnes","287","units","0","v1331404627","1.2.2","154449","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of newly produced products","Other thermoplastic polyester resins","Tonnes","287","units","0","v1331404628","1.2.3","28491","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of newly produced products","Low-density polyethylene resins","Tonnes","287","units","0","v1331404629","1.2.4","176231","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of newly produced products","Linear low-density polyethylene resins","Tonnes","287","units","0","v1331404630","1.2.5","126135","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of newly produced products","High-density polyethylene resins","Tonnes","287","units","0","v1331404631","1.2.6","259412","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of newly produced products","Other polyethylene resins","Tonnes","287","units","0","v1331404632","1.2.7","209129","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of newly produced products","Polystyrene resins","Tonnes","287","units","0","v1331404633","1.2.8","113303","","","","0"
