Level,Resin
1,"Total, all resins"
2,Polyethylene terephthalate (PET) resins
2,Other thermoplastic polyester resins
2,Low-density polyethylene resins
2,Linear low-density polyethylene resins
2,High-density polyethylene resins
2,Other polyethylene resins
2,Polystyrene resins
2,Acrylonitrile-butadiene-styrene resins
2,Polyvinyl chloride resins
2,Polypropylene resins
2,Thermoplastic polyurethane resins
2,Polyamide (nylon) resins
2,All other thermoplastic resins
2,Phenolic resins
2,Urea formaldehyde resins
2,All other formaldehyde based resins
2,Unsaturated polyester (thermosetting) resins
2,Thermosetting polyurethane resins
2,Other thermosetting resins
